"_id","id","category","dish"
"ObjectId(""692e9d0c1be10974822a6e1d"")",7,"Italian","Tiramisu"
"ObjectId(""692e9d0c1be10974822a6e1e"")",9,"Italian","Bruschetta"
"ObjectId(""692e9d0c1be10974822a6e1f"")",4,"Italian","Risotto ai Funghi"
"ObjectId(""692e9d0c1be10974822a6e20"")",10,"Italian","Panna Cotta"
"ObjectId(""692e9d0c1be10974822a6e21"")",11,"German","Schnitzel"
"ObjectId(""692e9d0c1be10974822a6e22"")",13,"German","Kartoffelsalat"
"ObjectId(""692e9d0c1be10974822a6e23"")",12,"German","Bratwurst"
"ObjectId(""692e9d0c1be10974822a6e24"")",14,"German","Sauerkraut"
"ObjectId(""692e9d0c1be10974822a6e25"")",15,"German","Schweinsbraten"
"ObjectId(""692e9d0c1be10974822a6e26"")",8,"Italian","Ravioli Ricotta e Spinaci"
"ObjectId(""692e9d0c1be10974822a6e27"")",16,"German","Käsespätzle"
"ObjectId(""692e9d0c1be10974822a6e28"")",17,"German","Apfelstrudel"
"ObjectId(""692e9d0c1be10974822a6e29"")",5,"Italian","Gnocchi Pomodoro"
"ObjectId(""692e9d0c1be10974822a6e2a"")",1,"Italian","Pizza Margherita"
"ObjectId(""692e9d0c1be10974822a6e2b"")",19,"German","Weißwurst"
"ObjectId(""692e9d0c1be10974822a6e2c"")",3,"Italian","Lasagne"
"ObjectId(""692e9d0c1be10974822a6e2d"")",25,"Austrian","Sachertorte"
"ObjectId(""692e9d0c1be10974822a6e2e"")",27,"Austrian","Marillenknödel"
"ObjectId(""692e9d0c1be10974822a6e2f"")",6,"Italian","Calzone"
"ObjectId(""692e9d0c1be10974822a6e30"")",26,"Austrian","Backhendl"
"ObjectId(""692e9d0c1be10974822a6e31"")",28,"Austrian","Eiernockerl"
"ObjectId(""692e9d0c1be10974822a6e32"")",31,"Mexican","Tacos"
"ObjectId(""692e9d0c1be10974822a6e33"")",30,"Austrian","Powidltascherl"
"ObjectId(""692e9d0c1be10974822a6e34"")",32,"Mexican","Burrito"
"ObjectId(""692e9d0c1be10974822a6e35"")",29,"Austrian","Liptauerbrot"
"ObjectId(""692e9d0c1be10974822a6e36"")",33,"Mexican","Quesadilla"
"ObjectId(""692e9d0c1be10974822a6e37"")",34,"Mexican","Nachos"
"ObjectId(""692e9d0c1be10974822a6e38"")",35,"Mexican","Enchiladas"
"ObjectId(""692e9d0c1be10974822a6e39"")",2,"Italian","Spaghetti Carbonara"
"ObjectId(""692e9d0c1be10974822a6e3a"")",36,"Mexican","Chili con Carne"
"ObjectId(""692e9d0c1be10974822a6e3b"")",37,"Mexican","Guacamole"
"ObjectId(""692e9d0c1be10974822a6e3c"")",38,"Mexican","Tamales"
"ObjectId(""692e9d0c1be10974822a6e3d"")",40,"Mexican","Churros"
"ObjectId(""692e9d0c1be10974822a6e3e"")",39,"Mexican","Pozole"
"ObjectId(""692e9d0c1be10974822a6e3f"")",42,"Chinese","Sweet and Sour Pork"
"ObjectId(""692e9d0c1be10974822a6e40"")",43,"Chinese","Fried Rice"
"ObjectId(""692e9d0c1be10974822a6e41"")",41,"Chinese","Kung Pao Chicken"
"ObjectId(""692e9d0c1be10974822a6e42"")",44,"Chinese","Spring Rolls"
"ObjectId(""692e9d0c1be10974822a6e43"")",24,"Austrian","Gulaschsuppe"
"ObjectId(""692e9d0c1be10974822a6e44"")",21,"Austrian","Wiener Schnitzel"
"ObjectId(""692e9d0c1be10974822a6e45"")",18,"German","Schupfnudeln"
"ObjectId(""692e9d0c1be10974822a6e46"")",46,"Chinese","Chow Mein"
"ObjectId(""692e9d0c1be10974822a6e47"")",23,"Austrian","Kaiserschmarrn"
"ObjectId(""692e9d0c1be10974822a6e48"")",53,"Japanese","Tempura"
"ObjectId(""692e9d0c1be10974822a6e49"")",22,"Austrian","Tafelspitz"
"ObjectId(""692e9d0c1be10974822a6e4a"")",55,"Japanese","Tonkatsu"
"ObjectId(""692e9d0c1be10974822a6e4b"")",57,"Japanese","Udon"
"ObjectId(""692e9d0c1be10974822a6e4c"")",54,"Japanese","Okonomiyaki"
"ObjectId(""692e9d0c1be10974822a6e4d"")",56,"Japanese","Yakitori"
"ObjectId(""692e9d0c1be10974822a6e4e"")",58,"Japanese","Soba"
"ObjectId(""692e9d0c1be10974822a6e4f"")",59,"Japanese","Gyoza"
"ObjectId(""692e9d0c1be10974822a6e50"")",20,"German","Spätzle"
"ObjectId(""692e9d0c1be10974822a6e51"")",61,"Indian","Butter Chicken"
"ObjectId(""692e9d0c1be10974822a6e52"")",63,"Indian","Biryani"
"ObjectId(""692e9d0c1be10974822a6e53"")",45,"Chinese","Mapo Tofu"
"ObjectId(""692e9d0c1be10974822a6e54"")",64,"Indian","Dal"
"ObjectId(""692e9d0c1be10974822a6e55"")",67,"Indian","Paneer Tikka"
"ObjectId(""692e9d0c1be10974822a6e56"")",68,"Indian","Chole Bhature"
"ObjectId(""692e9d0c1be10974822a6e57"")",65,"Indian","Samosa"
"ObjectId(""692e9d0c1be10974822a6e58"")",66,"Indian","Naan"
"ObjectId(""692e9d0c1be10974822a6e59"")",60,"Japanese","Miso Soup"
"ObjectId(""692e9d0c1be10974822a6e5a"")",69,"Indian","Tandoori Chicken"
"ObjectId(""692e9d0c1be10974822a6e5b"")",62,"Indian","Chicken Tikka Masala"
"ObjectId(""692e9d0c1be10974822a6e5c"")",70,"Indian","Masala Dosa"
"ObjectId(""692e9d0c1be10974822a6e5d"")",52,"Japanese","Ramen"
"ObjectId(""692e9d0c1be10974822a6e5e"")",71,"American","Hamburger"
"ObjectId(""692e9d0c1be10974822a6e5f"")",73,"American","Hot Dog"
"ObjectId(""692e9d0c1be10974822a6e60"")",72,"American","Cheeseburger"
"ObjectId(""692e9d0c1be10974822a6e61"")",74,"American","Buffalo Wings"
"ObjectId(""692e9d0c1be10974822a6e62"")",75,"American","Mac and Cheese"
"ObjectId(""692e9d0c1be10974822a6e63"")",77,"American","BBQ Ribs"
"ObjectId(""692e9d0c1be10974822a6e64"")",76,"American","Fried Chicken"
"ObjectId(""692e9d0c1be10974822a6e65"")",50,"Chinese","Baozi"
"ObjectId(""692e9d0c1be10974822a6e66"")",51,"Japanese","Sushi"
"ObjectId(""692e9d0c1be10974822a6e67"")",47,"Chinese","Peking Duck"
"ObjectId(""692e9d0c1be10974822a6e68"")",48,"Chinese","Dumplings"
"ObjectId(""692e9d0c1be10974822a6e69"")",49,"Chinese","Hot Pot"
"ObjectId(""692e9d0c1be10974822a6e6a"")",78,"American","Clam Chowder"
"ObjectId(""692e9d0c1be10974822a6e6b"")",79,"American","Caesar Salad"
"ObjectId(""692e9d0c1be10974822a6e6c"")",80,"American","Apple Pie"
"ObjectId(""692e9d0c1be10974822a6e6d"")",81,"French","Croissant"
"ObjectId(""692e9d0c1be10974822a6e6e"")",82,"French","Quiche Lorraine"
"ObjectId(""692e9d0c1be10974822a6e6f"")",83,"French","Ratatouille"
"ObjectId(""692e9d0c1be10974822a6e70"")",84,"French","Crème Brûlée"
"ObjectId(""692e9d0c1be10974822a6e71"")",86,"French","Bouillabaisse"
"ObjectId(""692e9d0c1be10974822a6e72"")",85,"French","Baguette"
"ObjectId(""692e9d0c1be10974822a6e73"")",87,"French","Coq au Vin"
"ObjectId(""692e9d0c1be10974822a6e74"")",90,"French","Soufflé"
"ObjectId(""692e9d0c1be10974822a6e75"")",89,"French","Beef Bourguignon"
"ObjectId(""692e9d0c1be10974822a6e76"")",88,"French","Escargots"
"ObjectId(""692e9d0c1be10974822a6e77"")",91,"Spanish","Paella"
"ObjectId(""692e9d0c1be10974822a6e78"")",102,"Greek","Moussaka"
"ObjectId(""692e9d0c1be10974822a6e79"")",100,"Spanish","Empanadas"
"ObjectId(""692e9d0c1be10974822a6e7a"")",101,"Greek","Gyros"
"ObjectId(""692e9d0c1be10974822a6e7b"")",104,"Greek","Tzatziki"
"ObjectId(""692e9d0c1be10974822a6e7c"")",94,"Spanish","Gazpacho"
"ObjectId(""692e9d0c1be10974822a6e7d"")",105,"Greek","Greek Salad"
"ObjectId(""692e9d0c1be10974822a6e7e"")",95,"Spanish","Churros"
"ObjectId(""692e9d0c1be10974822a6e7f"")",96,"Spanish","Patatas Bravas"
"ObjectId(""692e9d0c1be10974822a6e80"")",107,"Greek","Pastitsio"
"ObjectId(""692e9d0c1be10974822a6e81"")",108,"Greek","Dolmades"
"ObjectId(""692e9d0c1be10974822a6e82"")",109,"Greek","Baklava"
"ObjectId(""692e9d0c1be10974822a6e83"")",93,"Spanish","Tortilla Española"
"ObjectId(""692e9d0c1be10974822a6e84"")",111,"Turkish","Kebab"
"ObjectId(""692e9d0c1be10974822a6e85"")",112,"Turkish","Baklava"
"ObjectId(""692e9d0c1be10974822a6e86"")",103,"Greek","Souvlaki"
"ObjectId(""692e9d0c1be10974822a6e87"")",113,"Turkish","Simit"
"ObjectId(""692e9d0c1be10974822a6e88"")",114,"Turkish","Lahmacun"
"ObjectId(""692e9d0c1be10974822a6e89"")",110,"Greek","Fava"
"ObjectId(""692e9d0c1be10974822a6e8a"")",118,"Turkish","Pide"
"ObjectId(""692e9d0c1be10974822a6e8b"")",92,"Spanish","Tapas"
"ObjectId(""692e9d0c1be10974822a6e8c"")",117,"Turkish","Dolma"
"ObjectId(""692e9d0c1be10974822a6e8d"")",120,"Turkish","Kunefe"
"ObjectId(""692e9d0c1be10974822a6e8e"")",119,"Turkish","Iskender Kebab"
"ObjectId(""692e9d0c1be10974822a6e8f"")",122,"Thai","Green Curry"
"ObjectId(""692e9d0c1be10974822a6e90"")",121,"Thai","Pad Thai"
"ObjectId(""692e9d0c1be10974822a6e91"")",124,"Thai","Tom Yum"
"ObjectId(""692e9d0c1be10974822a6e92"")",123,"Thai","Red Curry"
"ObjectId(""692e9d0c1be10974822a6e93"")",128,"Thai","Som Tam"
"ObjectId(""692e9d0c1be10974822a6e94"")",126,"Thai","Pad Kra Pao"
"ObjectId(""692e9d0c1be10974822a6e95"")",130,"Thai","Pineapple Rice"
"ObjectId(""692e9d0c1be10974822a6e96"")",127,"Thai","Massaman Curry"
"ObjectId(""692e9d0c1be10974822a6e97"")",129,"Thai","Thai Fried Rice"
"ObjectId(""692e9d0c1be10974822a6e98"")",131,"Korean","Kimchi"
"ObjectId(""692e9d0c1be10974822a6e99"")",115,"Turkish","Menemen"
"ObjectId(""692e9d0c1be10974822a6e9a"")",116,"Turkish","Köfte"
"ObjectId(""692e9d0c1be10974822a6e9b"")",98,"Spanish","Jamón Serrano"
"ObjectId(""692e9d0c1be10974822a6e9c"")",106,"Greek","Spanakopita"
"ObjectId(""692e9d0c1be10974822a6e9d"")",97,"Spanish","Croquetas"
"ObjectId(""692e9d0c1be10974822a6e9e"")",99,"Spanish","Pimientos de Padrón"
"ObjectId(""692e9d0c1be10974822a6e9f"")",132,"Korean","Bibimbap"
"ObjectId(""692e9d0c1be10974822a6ea0"")",133,"Korean","Bulgogi"
"ObjectId(""692e9d0c1be10974822a6ea1"")",134,"Korean","Japchae"
"ObjectId(""692e9d0c1be10974822a6ea2"")",135,"Korean","Tteokbokki"
"ObjectId(""692e9d0c1be10974822a6ea3"")",137,"Korean","Samgyeopsal"
"ObjectId(""692e9d0c1be10974822a6ea4"")",125,"Thai","Mango Sticky Rice"
"ObjectId(""692e9d0c1be10974822a6ea5"")",138,"Korean","Kimchi Stew"
"ObjectId(""692e9d0c1be10974822a6ea6"")",139,"Korean","Kimbap"
"ObjectId(""692e9d0c1be10974822a6ea7"")",136,"Korean","Korean Fried Chicken"
"ObjectId(""692e9d0c1be10974822a6ea8"")",141,"British","Fish and Chips"
"ObjectId(""692e9d0c1be10974822a6ea9"")",140,"Korean","Sundubu Jjigae"
"ObjectId(""692e9d0c1be10974822a6eaa"")",143,"British","Full English Breakfast"
"ObjectId(""692e9d0c1be10974822a6eab"")",142,"British","Shepherd’s Pie"
"ObjectId(""692e9d0c1be10974822a6eac"")",145,"British","Yorkshire Pudding"
"ObjectId(""692e9d0c1be10974822a6ead"")",144,"British","Steak and Ale Pie"
"ObjectId(""692e9d0c1be10974822a6eae"")",147,"British","Bangers and Mash"
"ObjectId(""692e9d0c1be10974822a6eaf"")",148,"British","Eton Mess"
"ObjectId(""692e9d0c1be10974822a6eb0"")",146,"British","Black Pudding"
"ObjectId(""692e9d0c1be10974822a6eb1"")",149,"British","Scotch Egg"
"ObjectId(""692e9d0c1be10974822a6eb2"")",151,"African","Jollof Rice"
"ObjectId(""692e9d0c1be10974822a6eb3"")",152,"African","Bobotie"
"ObjectId(""692e9d0c1be10974822a6eb4"")",150,"British","Victoria Sponge"
"ObjectId(""692e9d0c1be10974822a6eb5"")",161,"Middle Eastern","Hummus"
"ObjectId(""692e9d0c1be10974822a6eb6"")",162,"Middle Eastern","Falafel"
"ObjectId(""692e9d0c1be10974822a6eb7"")",164,"Middle Eastern","Tabbouleh"
"ObjectId(""692e9d0c1be10974822a6eb8"")",165,"Middle Eastern","Baba Ganoush"
"ObjectId(""692e9d0c1be10974822a6eb9"")",163,"Middle Eastern","Shawarma"
"ObjectId(""692e9d0c1be10974822a6eba"")",166,"Middle Eastern","Kiba"
"ObjectId(""692e9d0c1be10974822a6ebb"")",156,"African","Tagine"
"ObjectId(""692e9d0c1be10974822a6ebc"")",167,"Middle Eastern","Fattoush"
"ObjectId(""692e9d0c1be10974822a6ebd"")",168,"Middle Eastern","Manakish"
"ObjectId(""692e9d0c1be10974822a6ebe"")",169,"Middle Eastern","Kunafa"
"ObjectId(""692e9d0c1be10974822a6ebf"")",171,"Vegan","Vegan Burger"
"ObjectId(""692e9d0c1be10974822a6ec0"")",170,"Middle Eastern","Lentil Soup"
"ObjectId(""692e9d0c1be10974822a6ec1"")",172,"Vegan","Falafel Wrap"
"ObjectId(""692e9d0c1be10974822a6ec2"")",173,"Vegan","Vegan Curry"
"ObjectId(""692e9d0c1be10974822a6ec3"")",160,"African","Piri Piri Chicken"
"ObjectId(""692e9d0c1be10974822a6ec4"")",174,"Vegan","Tofu Stir Fry"
"ObjectId(""692e9d0c1be10974822a6ec5"")",175,"Vegan","Veggie Pizza"
"ObjectId(""692e9d0c1be10974822a6ec6"")",177,"Vegan","Lentil Soup"
"ObjectId(""692e9d0c1be10974822a6ec7"")",176,"Vegan","Hummus Bowl"
"ObjectId(""692e9d0c1be10974822a6ec8"")",157,"African","Plantains"
"ObjectId(""692e9d0c1be10974822a6ec9"")",154,"African","Bunny Chow"
"ObjectId(""692e9d0c1be10974822a6eca"")",155,"African","Fufu"
"ObjectId(""692e9d0c1be10974822a6ecb"")",158,"African","Injera"
"ObjectId(""692e9d0c1be10974822a6ecc"")",159,"African","Shakshuka"
"ObjectId(""692e9d0c1be10974822a6ecd"")",178,"Vegan","Vegan Burrito"
"ObjectId(""692e9d0c1be10974822a6ece"")",153,"African","Couscous"
"ObjectId(""692e9d0c1be10974822a6ecf"")",179,"Vegan","Chickpea Stew"
"ObjectId(""692e9d0c1be10974822a6ed0"")",180,"Vegan","Avocado Toast"
"ObjectId(""692e9d0c1be10974822a6ed1"")",182,"Dessert","Cheesecake"
"ObjectId(""692e9d0c1be10974822a6ed2"")",181,"Dessert","Chocolate Cake"
"ObjectId(""692e9d0c1be10974822a6ed3"")",184,"Dessert","Ice Cream"
"ObjectId(""692e9d0c1be10974822a6ed4"")",183,"Dessert","Cupcakes"
"ObjectId(""692e9d0c1be10974822a6ed5"")",186,"Dessert","Pancakes"
"ObjectId(""692e9d0c1be10974822a6ed6"")",187,"Dessert","Crepes"
"ObjectId(""692e9d0c1be10974822a6ed7"")",185,"Dessert","Brownies"
"ObjectId(""692e9d0c1be10974822a6ed8"")",189,"Dessert","Muffins"
"ObjectId(""692e9d0c1be10974822a6ed9"")",188,"Dessert","Fruit Salad"
"ObjectId(""692e9d0c1be10974822a6eda"")",191,"Seafood","Grilled Salmon"
"ObjectId(""692e9d0c1be10974822a6edb"")",190,"Dessert","Donuts"
"ObjectId(""692e9d0c1be10974822a6edc"")",192,"Seafood","Shrimp Scampi"
"ObjectId(""692e9d0c1be10974822a6edd"")",193,"Seafood","Fish Stew"
"ObjectId(""692e9d0c1be10974822a6ede"")",194,"Seafood","Tuna Steak"
"ObjectId(""692e9d0c1be10974822a6edf"")",199,"Seafood","Clam Pasta"
"ObjectId(""692e9d0c1be10974822a6ee0"")",196,"Seafood","Crab Cakes"
"ObjectId(""692e9d0c1be10974822a6ee1"")",198,"Seafood","Sushi Deluxe"
"ObjectId(""692e9d0c1be10974822a6ee2"")",200,"Seafood","Lobster Roll"
"ObjectId(""692e9d0c1be10974822a6ee3"")",195,"Seafood","Fish Tacos"
"ObjectId(""692e9d0c1be10974822a6ee4"")",197,"Seafood","Paella de Mariscos"